"Country","Variable","Year","Value"
"World","Total population",1950,2529346
"World","Total population",1955,2763453
"World","Total population",1960,3023358
"World","Total population",1965,3331670
"World","Total population",1970,3685777
"World","Total population",1975,4061317
"World","Total population",1980,4437609
"World","Total population",1985,4846247
"World","Total population",1990,5290452
"World","Total population",1995,5713073
"World","Total population",2000,6115367
"World","Total population",2005,6512276
"World","Total population",2009,6829360
"World","Total population",2010,6908688
"World","Total population",2015,7302186
"World","Total population",2020,7674833
"World","Total population",2025,8011533
"World","Total population",2030,8308895
"World","Total population",2035,8570570
"World","Total population",2040,8801196
"World","Total population",2045,8996344
"World","Total population",2050,9149984
"World","Urban population",1950,729317
"World","Urban population",1955,852570
"World","Urban population",1960,997571
"World","Urban population",1965,1163594
"World","Urban population",1970,1329983
"World","Urban population",1975,1511414
"World","Urban population",1980,1727237
"World","Urban population",1985,1976417
"World","Urban population",1990,2254592
"World","Urban population",1995,2539470
"World","Urban population",2000,2837431
"World","Urban population",2005,3166711
"World","Urban population",2009,3421110
"World","Urban population",2010,3486326
"World","Urban population",2015,3824073
"World","Urban population",2020,4176234
"World","Urban population",2025,4535925
"World","Urban population",2030,4899858
"World","Urban population",2035,5263115
"World","Urban population",2040,5619628
"World","Urban population",2045,5963274
"World","Urban population",2050,6285881

"Source: Population Division of the Department of Economic and Social Affairs of the United Nations Secretariat, World Population Prospects: The 2008 Revision and World Urbanization Prospects: The 2009 Revision, http://esa.un.org/wup2009/unup/, Friday, May 31, 2013; 10:13:23 AM."
